Comments,PublishedAt,Author,Like_Counts,Reply_Comments
I m marathi i don't know Tamil....but I love this language...there sound very sweet... For Shreya Ghoshal no words,2024-06-03T19:01:14Z,@nitinshelkar4577,1,0
Super 🎉🎉,2024-06-03T18:29:55Z,@ishuofficialtomdel,1,0
Nice song dance super❤,2024-06-03T17:34:27Z,@KMDARTS,0,0
DSP+ Allu arjun = 🔥,2024-06-03T17:06:50Z,@Rayyan10287,0,0
It sounds Ajay Atul music,2024-06-03T16:31:56Z,@udlovemusic,1,0
I like pushpa,2024-06-03T15:37:31Z,@DeepaDeepa-do7uj,1,0
Always Shreya Ghoshal 💙,2024-06-03T15:28:57Z,@thalapathyprabu8910,3,0
Obsessed with this song,2024-06-03T14:48:47Z,@zubibanu5694,1,0
First 2 lines reminds me of chotta chotta nanayidhu tajmahal song ❤,2024-06-03T14:41:39Z,@manjuvn1757,0,1
ALLU ARJUN FAN LIKE HERE🎉🎉🎉,2024-06-03T10:35:17Z,@naveennaveen3155,7,0
Rashmikaa my crushh..❤️✨😍,2024-06-03T08:23:42Z,@THIVARSHINEAPSIVAKUMARMoe,0,0
Simple that awsome free dance step❤❤,2024-06-03T07:59:58Z,@joa1729,0,0
It was a mixture from old tamil songs.,2024-06-03T07:02:37Z,@pushi3649,0,0
Tajmahal tamil movie song sotta sotta nanayithu song copy,2024-06-03T06:44:33Z,@parimalaarunkumar7289,0,0
Lyrics 💖 and music❤❤ voice too🎉❤,2024-06-03T06:34:52Z,@navinmadhavan4804,0,0
Shreya mind cool voice super DSP sab! Pre-hits list PUSHPA-2!!!,2024-06-03T06:02:04Z,@KoyamthurTamil,0,0
DSP kita 4 madaku vangi kudikavum.. Indian 2 team 🤣🤣🤣,2024-06-03T05:22:30Z,@TamilNambi-pj2ef,2,5
"Aiiii Intha Tamil cinema la irukkavangalukku ennatha problem, sung by or vocals or singer shreya ghosal nu poda enna valikkuthu adikkadi ipdi tha pannitu irukkinga apdi enna SG Mela avlo gaandu chii ithukkagave unga movie ya paaka maata & I'm also Tamil ponnu",2024-06-03T04:58:01Z,@narmadha_official280,2,0
"Ennoda Shreya Ghoshal 
Mere Param sundhari 
My girl queen 
Ante Guplu Devi 
Na SG
❤❤❤❤",2024-06-03T04:44:25Z,@narmadha_official280,3,0
Wht a lyrics 😻 ❤️ voice 💓and music⚡🥳,2024-06-03T03:56:22Z,@isuvenkat,1,0
Allu fan assemble here❤,2024-06-03T03:23:17Z,@Hts60006,1,0
Suprr ❤❤❤,2024-06-03T02:58:58Z,@esakkiesakki8702,0,0
Shreya Ghoshal mam ❤️,2024-06-03T02:51:37Z,@manikandan.l7241,1,0
"Ada oorellam
Ivan morattukaala aana en munnala oru pacha palagan pola
Ada nadellam pidivathakaran aaana vanthu paaru en veetil kanukutty pola. Ohhh paka thaan paaaaara ulayo veeera kallapol ulla aalu kulla ulla kadavula pathathu nan thaney soodana thee kangu mathiri irupaney en sami lesana poo panjumathiri pachapulla en sami 
(Music)
Ohh kanasaivuku ninu pesum kovo than ooru ariyum
Kannukulla ulla eero enakumatu thane theriyum  
Meesa murukum rosakara veerana ooru ariyu. Meesai adiyil aasa siripu enaku matum thaney theriyu 
Kattula puliya dhada dhada dhada dhada thorathura puliya ooru ariyum 
Thashu thazhu kuralil thalavachu madiyil  urangura kunam intha sreevalikke theriyum

Soodana thee kangu mathiri irupaney en saami lesana poo manjumathiri pacha pulla. En saami 
(,music)
Ohhh parivallal pola ethayum ooruke vari tharuvan pavo chinna mutham ketu enkita kenji thavipan periya periya velayellam satu nu pesi mudipan podum satta theda solli enmunna kathu kidapan ethirula theriyum ethiriya ellam yethurthey mudikum en aalu ethurula thenamu nan varum sagunampathey engum porapadu vaaaru 
Soodana thee kangu mathiri iruparu en saami uhupola purushan iruntha entha ponnu maharani.
(Music)....",2024-06-02T22:14:08Z,@Sneha_karthikeyan,0,1
